ID,Name,Age,Height(cm),Weight(kg),Nationality,Club,Value,Wage,Player_Position,Preferred_Foot,Body_Type,Stamina
176676,Marcelo,31,174,75,Brazil,Real Madrid,28000000,205000,LB,Left,Normal,79
177413,A. Witsel,30,186,81,Belgium,Borussia Dortmund,31500000,110000,CDM,Right,Lean,82
191043,Alex Sandro,28,180,80,Brazil,Juventus,33000000,155000,LB,Left,Normal,91
192629,Iago Aspas,31,176,67,Spain,RC Celta,34500000,49000,ST,Left,Lean,71
193747,Koke,27,176,74,Spain,Atlético Madrid,40500000,88000,RM,Right,Normal,92
198710,J. Rodríguez,27,180,75,Colombia,Real Madrid,40500000,225000,CAM,Left,Normal,65
199914,Allan,28,175,74,Brazil,Napoli,38000000,110000,CM,Right,Normal,94
233049,J. Sancho,19,180,76,England,Borussia Dortmund,44500000,61000,RM,Right,Lean,77
235790,K. Havertz,20,188,83,Germany,Bayer 04 Leverkusen,46000000,70000,CAM,Left,Lean,82
231443,O. Dembélé,22,178,67,France,FC Barcelona,42500000,195000,RW,Left,Lean,69
206585,Kepa,24,186,85,Spain,Chelsea,31000000,92000,GK,Right,Lean,37
210514,João Cancelo,25,182,74,Portugal,Manchester City,36500000,150000,RB,Right,Lean,92
211117,D. Alli,23,188,80,England,Tottenham Hotspur,41500000,115000,CAM,Right,Lean,89
220814,L. Hernández,23,182,76,France,FC Bayern München,37500000,110000,CB,Left,Normal,83
230658,Arthur,22,171,73,Brazil,FC Barcelona,41000000,180000,CM,Right,Normal,73
202556,M. Depay,25,176,78,Netherlands,Olympique Lyonnais,40500000,110000,CF,Right,Stocky,79
209658,L. Goretzka,24,189,79,Germany,FC Bayern München,40000000,120000,CM,Right,Lean,86
212194,J. Brandt,23,185,83,Germany,Borussia Dortmund,40500000,94000,CAM,Right,Normal,78
213345,K. Coman,23,179,75,France,FC Bayern München,40500000,120000,LM,Right,Lean,69
206113,S. Gnabry,23,175,75,Germany,FC Bayern München,39500000,120000,RM,Right,Normal,74
216594,N. Fekir,25,173,75,France,Real Betis,39000000,40000,CAM,Left,Normal,74
192563,B. Leno,27,190,83,Germany,Arsenal,26000000,91000,GK,Right,Normal,43
198706,Luis Alberto,26,183,74,Spain,Lazio,37500000,78000,CAM,Right,Lean,70
212462,Alex Telles,26,181,71,Brazil,FC Porto,33000000,23000,LB,Left,Lean,91
236583,J. Pavlenka,27,196,81,Czech Republic,SV Werder Bremen,26000000,37000,GK,Right,Lean,20
198176,S. de Vrij,27,189,78,Netherlands,Inter,31500000,88000,CB,Right,Normal,62
201995,Felipe Anderson,26,175,70,Brazil,West Ham United,36500000,125000,LM,Right,Normal,74
120533,Pepe,36,188,81,Portugal,FC Porto,6500000,16000,CB,Right,Lean,82
162347,João Moutinho,32,170,61,Portugal,Wolverhampton Wanderers,23500000,125000,CM,Right,Normal,78
167628,S. Ruffier,32,188,93,France,AS Saint-Étienne,19000000,41000,GK,Right,Stocky,37
168435,S. Sirigu,32,192,80,Italy,Torino,19000000,54000,GK,Right,Normal,34
171877,M. Hamšík,31,183,73,Slovakia,Dalian YiFang FC,26500000,26000,CM,Right,Normal,81
172879,Sokratis,31,186,85,Greece,Arsenal,23000000,115000,CB,Right,Normal,69
176266,Lucas Leiva,32,179,78,Brazil,Lazio,20500000,71000,CDM,Right,Normal,82
176635,M. Özil,30,180,76,Germany,Arsenal,29500000,125000,CAM,Left,Lean,67
177610,Javi Martínez,30,192,86,Spain,FC Bayern München,25500000,125000,CDM,Right,Normal,72
177683,Y. Sommer,30,183,79,Switzerland,Borussia Mönchengladbach,21000000,37000,GK,Right,Normal,45
180930,E. Džeko,33,193,80,Bosnia Herzegovina,Roma,19500000,75000,ST,Right,Lean,72
181291,G. Wijnaldum,28,175,69,Netherlands,Liverpool,31000000,140000,CM,Right,Lean,93
181458,I. Perišić,30,186,80,Croatia,FC Bayern München,29500000,135000,LM,Right,Lean,89
181783,M. Mandžukić,33,190,85,Croatia,Juventus,19500000,160000,ST,Right,Lean,81
181872,A. Vidal,32,180,75,Chile,FC Barcelona,23500000,205000,CM,Right,Normal,86
183907,J. Boateng,30,192,90,Germany,FC Bayern München,25000000,125000,CB,Right,Stocky,66
184432,Azpilicueta,29,178,76,Spain,Chelsea,25500000,145000,RB,Right,Normal,83
185020,José Callejón,32,178,73,Spain,Napoli,24000000,96000,RM,Right,Lean,90
186942,I. Gündoğan,28,180,80,Germany,Manchester City,31000000,180000,CM,Right,Normal,71
187961,Paulinho,30,183,80,Brazil,Guangzhou Evergrande Taobao FC,29000000,43000,CM,Right,Lean,92
188377,K. Walker,29,183,70,England,Manchester City,25500000,165000,RB,Right,Normal,89
190286,Canales,28,176,65,Spain,Real Betis,31500000,44000,CAM,Left,Lean,77
190483,Douglas Costa,28,172,70,Brazil,Juventus,31500000,155000,LM,Left,Normal,71
197965,Pizzi,29,177,72,Portugal,SL Benfica,30500000,26000,RM,Right,Normal,85
199434,D. Tadić,30,181,76,Serbia,Ajax,29500000,36000,CAM,Left,Normal,85
200647,J. Iličić,31,190,79,Slovenia,Atalanta,28000000,92000,CF,Left,Lean,70
204485,R. Mahrez,28,179,67,Algeria,Manchester City,31500000,195000,RW,Left,Lean,76
205678,E. Višća,29,172,63,Bosnia Herzegovina,Medipol Başakşehir FK,30500000,67000,RM,Right,Lean,90
207863,Felipe,30,190,83,Brazil,Atlético Madrid,25000000,74000,CB,Right,Normal,79
226271,Fabián,23,189,70,Spain,Napoli,36000000,76000,CM,Left,Lean,73
210413,A. Romagnoli,24,188,78,Italy,Milan,32000000,46000,CB,Left,Normal,72
226226,G. Lo Celso,23,177,68,Argentina,Tottenham Hotspur,35000000,105000,CM,Left,Normal,79
231281,T. Alexander-Arnold,20,180,69,England,Liverpool,32000000,78000,RB,Right,Lean,83
232432,L. Jović,21,182,85,Serbia,Real Madrid,36500000,155000,ST,Right,Stocky,76
205175,A. Milik,25,186,78,Poland,Napoli,35000000,91000,ST,Left,Lean,70
211300,A. Martial,23,184,76,France,Manchester United,34500000,140000,LW,Right,Normal,75
212523,Anderson Talisca,25,190,80,Brazil,Guangzhou Evergrande Taobao FC,34500000,38000,CAM,Left,Normal,79
213331,J. Tah,23,195,97,Germany,Bayer 04 Leverkusen,31000000,67000,CB,Right,Stocky,64
219683,C. Tolisso,24,181,81,France,FC Bayern München,34000000,110000,CM,Right,Normal,84
221087,Pau López,24,189,77,Spain,Roma,26000000,38000,GK,Left,Lean,42
224411,Gonçalo Guedes,22,179,68,Portugal,Valencia CF,34500000,46000,LM,Right,Normal,76
226110,N. Pépé,24,183,73,Ivory Coast,Arsenal,34500000,97000,RM,Left,Lean,84
229237,M. Akanji,23,187,91,Switzerland,Borussia Dortmund,31000000,77000,CB,Right,Normal,74
231677,M. Rashford,21,186,70,England,Manchester United,35500000,125000,ST,Right,Lean,87
203574,J. Stones,25,188,70,England,Manchester City,30000000,140000,CB,Right,Lean,77
210008,A. Rabiot,24,192,80,France,Juventus,33000000,120000,CM,Left,Lean,80
210035,Grimaldo,23,171,69,Spain,SL Benfica,29500000,18000,LB,Left,Normal,90
212188,T. Werner,23,180,75,Germany,RB Leipzig,34500000,70000,ST,Right,Normal,83
213565,T. Lemar,23,171,62,France,Atlético Madrid,34000000,64000,LM,Left,Lean,77
220793,D. Sánchez,23,187,79,Colombia,Tottenham Hotspur,30500000,93000,CB,Right,Normal,75
220834,Marco Asensio,23,182,76,Spain,Real Madrid,34000000,180000,LW,Left,Normal,79
200458,L. Digne,25,178,74,France,Everton,28500000,97000,LB,Left,Lean,85
202166,J. Draxler,25,187,77,Germany,Paris Saint-Germain,32500000,100000,CAM,Right,Lean,68
204935,J. Pickford,25,185,77,England,Everton,24000000,78000,GK,Left,Normal,45
208418,Y. Carrasco,25,180,71,Belgium,Dalian YiFang FC,32500000,23000,LM,Right,Lean,74
224179,Borja Iglesias,26,187,86,Spain,Real Betis,32500000,41000,ST,Right,Lean,76
192984,K. Casteels,27,197,86,Belgium,VfL Wolfsburg,22000000,50000,GK,Left,Normal,44
198717,W. Zaha,26,180,66,Ivory Coast,Crystal Palace,32000000,89000,CF,Right,Lean,76
200454,Paco Alcácer,25,175,72,Spain,Borussia Dortmund,32000000,105000,ST,Right,Normal,65
201153,Morata,26,189,84,Spain,Atlético Madrid,32000000,80000,ST,Right,Normal,70
205693,S. Haller,25,190,82,France,West Ham United,32000000,120000,ST,Right,Lean,72
207566,William Carvalho,27,187,83,Portugal,Real Betis,27500000,35000,CDM,Right,Normal,83
212404,F. Bernardeschi,25,185,77,Italy,Juventus,31500000,130000,RM,Left,Lean,79
217940,D. Djené,27,178,72,Togo,Getafe CF,27000000,35000,CB,Right,Normal,73
188152,Oscar,27,181,71,Brazil,Shanghai SIPG FC,29500000,29000,CAM,Right,Lean,77
188943,K. Trapp,28,189,86,Germany,Eintracht Frankfurt,21500000,42000,GK,Right,Normal,45
198141,Bartra,28,184,73,Spain,Real Betis,25500000,36000,CB,Right,Lean,69
198950,Pablo Sarabia,27,174,70,Spain,Paris Saint-Germain,29500000,105000,CAM,Left,Normal,71
199987,J. Cillessen,30,185,83,Netherlands,Valencia CF,20000000,39000,GK,Right,Lean,40
200949,Lucas Moura,26,174,70,Brazil,Tottenham Hotspur,31000000,130000,CF,Right,Normal,76
204970,F. Thauvin,26,179,70,France,Olympique de Marseille,30500000,60000,RW,Left,Normal,83
205498,Jorginho,27,180,67,Italy,Chelsea,29000000,140000,CM,Right,Lean,85
1179,G. Buffon,41,192,92,Italy,Juventus,2600000,58000,GK,Right,Normal,34
5479,Casillas,38,185,84,Spain,FC Porto,2600000,11000,GK,Left,Normal,41
104389,R. Jarstein,34,190,86,Norway,Hertha BSC,11500000,33000,GK,Right,Normal,31
139720,V. Kompany,33,190,85,Belgium,RSC Anderlecht,12000000,31000,CB,Right,Normal,65
157481,Raúl Albiol,33,190,82,Spain,Villarreal CF,12000000,45000,CB,Right,Lean,45
159261,F. Quagliarella,36,180,79,Italy,Sampdoria,9500000,46000,ST,Right,Normal,65
163587,K. Schmeichel,32,189,89,Denmark,Leicester City,15500000,82000,GK,Right,Stocky,34
167397,Falcao,33,177,72,Colombia,AS Monaco,16500000,64000,ST,Right,Normal,67
168609,Miranda,34,186,78,Brazil,Jiangsu Suning FC,9500000,32000,CB,Right,Lean,59
169416,C. Vela,30,177,77,Mexico,Los Angeles FC,24500000,17000,RW,Left,Normal,74
170481,E. Garay,32,189,90,Argentina,Valencia CF,16500000,48000,CB,Right,Normal,66
178005,Rui Patrício,31,190,84,Portugal,Wolverhampton Wanderers,16500000,82000,GK,Left,Normal,45
178518,R. Nainggolan,31,176,77,Belgium,Cagliari,22500000,51000,CAM,Right,Stocky,89
178562,E. Banega,31,174,71,Argentina,Sevilla FC,19500000,26000,CDM,Right,Normal,70
179844,Diego Costa,30,188,86,Spain,Atlético Madrid,25000000,80000,ST,Right,Normal,74
179846,S. Khedira,32,189,90,Germany,Juventus,19500000,135000,CM,Right,Normal,68
179944,David Luiz,32,189,86,Brazil,Arsenal,16500000,105000,CB,Right,Normal,65
183574,M. Kruse,31,180,76,Germany,Fenerbahçe SK,23500000,105000,CF,Left,Normal,73
183711,J. Henderson,29,182,80,England,Liverpool,22000000,115000,CDM,Right,Normal,90
184484,G. Sigurðsson,29,186,77,Iceland,Everton,25500000,120000,CAM,Right,Normal,86
186561,A. Ramsey,28,183,76,Wales,Juventus,25500000,140000,CM,Right,Lean,89
190584,Illarramendi,29,179,75,Spain,Real Sociedad,22000000,42000,CDM,Right,Normal,73
190815,D. Blind,29,180,72,Netherlands,Ajax,22000000,31000,CDM,Left,Normal,76
190941,L. Hrádecký,29,192,85,Finland,Bayer 04 Leverkusen,18500000,67000,GK,Right,Lean,34
192366,N. Otamendi,31,183,81,Argentina,Manchester City,19000000,145000,CB,Right,Normal,65
193082,J. Cuadrado,31,179,72,Colombia,Juventus,22500000,135000,RM,Right,Lean,74
193474,I. Gueye,29,174,66,Senegal,Paris Saint-Germain,22000000,100000,CDM,Right,Lean,90
195365,K. Kampl,28,178,67,Slovenia,RB Leipzig,25500000,77000,CM,Right,Lean,90
198329,Rodrigo,28,182,77,Spain,Valencia CF,27000000,60000,ST,Left,Lean,74
199042,C. Aránguiz,30,171,70,Chile,Bayer 04 Leverkusen,24000000,86000,CM,Right,Lean,87
199451,W. Ben Yedder,28,170,68,France,AS Monaco,27000000,67000,ST,Right,Normal,68
199845,F. Acerbi,31,192,88,Italy,Lazio,19000000,64000,CB,Left,Normal,82
200888,Danilo Pereira,27,188,83,Portugal,FC Porto,24000000,21000,CDM,Right,Normal,82
216354,A. Kramarić,28,177,73,Croatia,TSG 1899 Hoffenheim,27000000,61000,ST,Right,Normal,77
230294,Louri Beretta,27,188,83,Brazil,Atlético Mineiro,27500000,60000,ST,Right,Normal,56
230375,Josué Chiamulera,27,185,80,Brazil,Grêmio,23500000,43000,CB,Right,Normal,76
230481,Ronaldo Cabrais,27,177,75,Brazil,Grêmio,27000000,51000,RW,Right,Normal,86
230142,Oyarzabal,22,181,78,Spain,Real Sociedad,31000000,39000,LW,Left,Lean,78
229906,L. Bailey,21,178,79,Jamaica,Bayer 04 Leverkusen,30500000,65000,LW,Left,Normal,76
230666,Gabriel Jesus,22,175,73,Brazil,Manchester City,31000000,140000,ST,Right,Normal,83
207410,M. Kovačić,25,176,78,Croatia,Chelsea,29000000,125000,CM,Right,Lean,78
208596,A. Belotti,25,181,72,Italy,Torino,30000000,63000,ST,Right,Normal,81
212151,T. Strakosha,24,193,78,Albania,Lazio,22000000,39000,GK,Right,Lean,23
220971,N. Keïta,24,172,64,Guinea,Liverpool,29000000,95000,CM,Right,Lean,79
223959,L. Torreira,23,168,64,Uruguay,Arsenal,27000000,80000,CDM,Right,Normal,86
224293,Rúben Neves,22,180,80,Portugal,Wolverhampton Wanderers,29000000,89000,CM,Right,Normal,78
225850,P. Kimpembe,23,189,80,France,Paris Saint-Germain,26500000,75000,CB,Left,Normal,80
225953,S. Bergwijn,21,178,78,Netherlands,PSV,30000000,22000,RW,Right,Stocky,81
226753,A. Onana,23,187,93,Cameroon,Ajax,22000000,18000,GK,Right,Stocky,39
227928,Nélson Semedo,25,177,67,Portugal,FC Barcelona,26000000,150000,RB,Right,Lean,91
193105,A. Areola,26,195,94,France,Paris Saint-Germain,21000000,71000,GK,Right,Normal,38
198009,M. Perin,26,188,77,Italy,Juventus,21000000,90000,GK,Right,Lean,30
211320,D. Rugani,24,190,84,Italy,Juventus,26000000,95000,CB,Right,Lean,67
214997,A. Correa,24,171,68,Argentina,Atlético Madrid,29000000,59000,RM,Right,Normal,74
216201,Iñaki Williams,25,186,79,Spain,Athletic Club de Bilbao,29000000,36000,ST,Right,Normal,82
221992,H. Lozano,23,175,70,Mexico,PSV,29000000,26000,RW,Right,Lean,82
227055,Gelson Martins,24,173,74,Portugal,AS Monaco,29000000,47000,RM,Right,Lean,86
200726,B. Lecomte,28,186,78,France,AS Monaco,20000000,42000,GK,Left,Normal,34
209989,T. Partey,26,185,77,Ghana,Atlético Madrid,27000000,68000,CM,Right,Lean,91
211748,K. Demirbay,25,182,72,Germany,Bayer 04 Leverkusen,27500000,75000,CM,Left,Lean,77
197061,J. Matip,27,194,90,Cameroon,Liverpool,23000000,99000,CB,Right,Lean,70
202651,Suso,25,176,70,Spain,Milan,27000000,56000,RW,Left,Normal,75
204639,S. Savić,28,187,79,Montenegro,Atlético Madrid,22500000,65000,CB,Right,Lean,51
205452,A. Rüdiger,26,190,85,Germany,Chelsea,24000000,115000,CB,Right,Lean,61
209960,Pacheco,27,186,81,Spain,Deportivo Alavés,18500000,27000,GK,Left,Normal,43
210243,Ricardo Pereira,25,175,70,Portugal,Leicester City,23500000,89000,RB,Right,Lean,85
211256,N. Tagliafico,26,172,65,Argentina,Ajax,23500000,27000,LB,Left,Normal,91
223952,David Soria,26,192,85,Spain,Getafe CF,19500000,26000,GK,Right,Lean,43
178750,Sergio Asenjo,30,189,87,Spain,Villarreal CF,17000000,33000,GK,Right,Stocky,41
189575,Muniain,26,170,66,Spain,Athletic Club de Bilbao,26000000,35000,CAM,Right,Normal,73
192318,M. Götze,27,176,75,Germany,Borussia Dortmund,26000000,98000,CF,Right,Normal,79
193283,T. Delaney,27,182,79,Denmark,Borussia Dortmund,23000000,82000,CDM,Left,Normal,90
193698,O. Baumann,29,187,82,Germany,TSG 1899 Hoffenheim,18000000,39000,GK,Right,Normal,39
195093,Willian José,27,189,93,Brazil,Real Sociedad,26000000,44000,ST,Right,Normal,70
199564,Sergi Roberto,27,178,68,Spain,FC Barcelona,22000000,155000,RB,Right,Lean,89
200536,N. Schulz,26,181,83,Germany,Borussia Dortmund,22500000,82000,LWB,Left,Normal,79
200610,K. Volland,26,179,83,Germany,Bayer 04 Leverkusen,26500000,85000,ST,Left,Stocky,88
200724,Nacho Fernández,29,180,76,Spain,Real Madrid,21000000,165000,CB,Right,Normal,78
201305,Gabriel Paulista,28,187,79,Brazil,Valencia CF,21500000,46000,CB,Right,Lean,77
202562,J. Roussillon,26,175,80,France,VfL Wolfsburg,22500000,56000,LB,Left,Normal,84
203263,H. Maguire,26,194,100,England,Manchester United,23000000,125000,CB,Right,Stocky,70
203486,T. Hazard,26,175,71,Belgium,Borussia Dortmund,26000000,90000,RM,Right,Lean,78
208448,E. Forsberg,27,179,74,Sweden,RB Leipzig,25500000,67000,CAM,Right,Lean,69
208574,F. Kostić,26,184,82,Serbia,Eintracht Frankfurt,26000000,49000,LM,Left,Normal,90
216409,M. Politano,25,171,67,Italy,Inter,26500000,77000,RM,Left,Normal,80
216547,Rafa,26,172,66,Portugal,SL Benfica,26000000,21000,LM,Right,Lean,79
24630,Pepe Reina,36,188,92,Spain,Milan,3700000,26000,GK,Right,Normal,34
53302,D. De Rossi,35,184,83,Italy,Boca Juniors,7000000,23000,CDM,Right,Normal,70
106231,Aduriz,38,182,78,Spain,Athletic Club de Bilbao,8000000,29000,ST,Right,Normal,50
146536,Jesús Navas,33,170,60,Spain,Sevilla FC,13500000,26000,RM,Right,Lean,78
146562,Santi Cazorla,34,168,65,Spain,Villarreal CF,11000000,45000,CM,Right,Stocky,54
